complaint_id,date_received,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings,complainant_sex,complainant_race,general_cap_classification,summary,complainant_age,district_occurrence
18-0351,7/20/2018,29584733,white,male,2500 25TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Pending,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-18-18 at 8:30pm, officers assigned to the 25th District failed to follow proper procedure.",42,2500
19-0053,2/12/2019,65708810,black,male,0500 05TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-26-19 at 9:30am, they did not receive proper service from an officer assigned to the 5th district.",27,500
20-0227,5/28/2020,,,,,INVESTIGATION ONGOING,Pending,Pending,female,black,PHYSICAL ABUSE,"According to the complainant, on 5-21-20 at 1:24 PM, departmental policies were violated and they were physical abused by an officer assigned to Highway Patrol, along with not receiving proper service from a supervisor.",36,1400
16-0159,3/28/2016,48951227,white,male,5200 TRAFFIC DISTRICT,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,male,asian,UNPROFESSIONAL CONDUCT,"According to the complainant, on 03-18-16 at 9:37am, they were treated unprofessionally by an officer assigned to the 7th District.",51,700
17-0319,6/26/2017,51562883,white,male,1200 12TH DISTRICT,HARASSMENT,No Sustained Findings,Not Applicable,male,black,HARASSMENT,"According to the complainant, on 6-10-17 at 4:00pm, they were harassed by an officer assigned to the 12th District.",25,1200
19-0377,8/8/2019,45309602,white,male,1900 19TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 7-15-19 at 9:35 PM, they were physically abused by unknown officers while in the confines of the 19th District.",48,1900
16-0398,8/22/2016,85100023,white,male,2400 24TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,white,LACK OF SERVICE,"According to the complainant, on 7-18-16 at 11:50am, they did not receive proper service from officers assigned to the 24th District.",33,2400
16-0231,5/9/2016,36288110,other,male,5300 HIGHWAY PATROL,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 4-28-16 at 9:00pm, they were verbally and physically abused by officers assigned to Highway Patrol. This incident occurred in the confines of the 35th District.",39,3500
18-0156,4/4/2018,46193658,white,male,0900 09TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,female,,PHYSICAL ABUSE,"According to the complainant, on 3-27-18 at 4:00pm, an officer, assigned to the 9th District, physically abused and used excessive force on an unknown civilian.",,9
15-0529,9/30/2015,60742990,white,male,0200 02ND DISTRICT,REFERRED TO OTHER AGENCY/C.A.P. INVESTIGATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-06-15 at 8:30pm, they were falsely arrested by an officer assigned to the 2nd District and a detective, assigned to the Narcotics Bureau.",25,200
19-0376,8/8/2019,17325364,black,female,4921 RADIO ROOM 1,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,black,LACK OF SERVICE,"According to the complainant, on 5-6-19 at 5:30 PM, they did not receive proper service from a police dispatcher and officers assigned to the 18th District while in the confines of the 12th District.",29,1800
19-0412,8/22/2019,62633668,white,male,4601 S.W.A.T.,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-19-19 at 5:45 AM, their property was damaged and improperly searched by unknown officers within the confines of the 16th District.",86,3200
20-0171,4/20/2020,,,,,INVESTIGATION ONGOING,Pending,Pending,male,,PHYSICAL ABUSE,"According to the complainant, on 4-17-20, they were physically abused by an officer while in the confines of the 15th District.",,1500
19-0221,5/15/2019,57167970,white,male,1500 15TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,white,UNPROFESSIONAL CONDUCT,"According to the complainants, on 11-10-18 at 5:00 PM, they did not receive proper service by a detective and an officer within in the confines of the 15th District.",39,1500
15-0642,10/29/2015,45661508,white,male,6600 NORTHWEST DETECTIVE,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,black,VERBAL ABUSE,"According to the complainant, on 10-12-15 at 5:00pm, they were verbally abused by a detective assigned to the Northwest Detective Division and that they did not receive proper service from unknown PDU personnel.",50,600
19-0058,2/14/2019,21507379,black,male,5200 TRAFFIC DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-6-19, they were treated unprofessionally and witnessed an officer assigned to the 6th District violating departmental policies.",40,600
18-0404,8/15/2018,97703401,white,male,3500 35TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-23-18 at 2:20am, they were falsely arrested by officers assigned to the 35th District.",58,7000
18-0055,2/14/2018,,,,,CIVIL RIGHTS COMPLAINT,No Sustained Findings,Not Applicable,male,black,LACK OF SERVICE,"According to the complainant, on 2-8-18 at 8:25am, they were discriminated against by an officer assigned to the 9th District.",24,900
18-0225,5/8/2018,47632009,white,male,2200 22ND DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-2-18 at 10:17pm, departmental policies were violated by officers assigned to the 22nd District.",31,4400
18-0428,8/31/2018,32632581,black,male,3900 39TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 8-20-18 at 2:15am, they were verbally and physically abused by officers assigned to the 39th District.",88,7800
16-0554,11/4/2016,31729814,black,male,5300 HIGHWAY PATROL,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-22-16 at 9:00pm, they were treated unprofessionally and their vehicle was improperly searched by officers assigned to Highway Patrol.",20,100
15-0575,9/28/2015,93687211,white,male,3500 35TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,black,LACK OF SERVICE,"According to the complainant, on 09-24-15, they did not receive proper service from officers assigned to the 35th District.",34,3500
19-0090,3/7/2019,85869066,black,female,4902 DETENTION ROOM,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,female,,PHYSICAL ABUSE,"According to the complainant, on several occasions, unknown Police Correctional Officers have physically and verbally abused unknown prisoners and continuously create a hostile work environment.",,600
19-0442,9/5/2019,35483362,black,male,2500 25TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,white,LACK OF SERVICE,"According to the complainants, they did not receive proper service from unknown officers while in the confines of the 15th, 24th, and 25th Districts.",28,1500
15-0470,8/18/2015,46534578,latino,male,2500 25TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,latino,PHYSICAL ABUSE,"According to the complainant, on 8-10-15 at 12:00am, their sibling was physically abused by unknown 25th District officers.",,2500
19-0052,2/12/2019,83137933,white,male,2400 24TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,white,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-5-19 at 7:00pm, they are a victim of an improper search and seizure and was verbally abused by two officers assigned to the 24th District.",26,2400
16-0064,2/9/2016,86291696,white,male,0200 02ND DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,female,black,PHYSICAL ABUSE,"According to the complainant, on 1-26-16 at 1:21pm, their family member was physically and verbally abused by officers assigned to the 2nd District.",117,600
18-0194,4/23/2018,30899659,black,female,4921 RADIO ROOM 1,DEPARTMENTAL VIOLATION,Sustained Finding,Pending,,,PHYSICAL ABUSE,"According to the complainant, on 4-20-18, they were verbally abused and physically abused by an officer assigned to the 35th District.",,3500
17-0632,12/21/2017,64983713,black,male,1200 12TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-17 at 10:04pm, they were physically abused and property was damaged by officers assigned to the 12th District.",35,1200
19-0231,5/17/2019,47581025,black,female,6702 SPECIAL VICTIMS UNI,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-30-18, they were falsely arrested by an officer from the Special Victims Unit, within the confines of the 15th District.",,800
17-0262,6/1/2017,53848382,latino,male,2500 25TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,black,VERBAL ABUSE,"According to the complainant, on 5-22-17 at 7:00pm, they were verbally abused, improperly detained and not given proper service by an officer assigned to the 25th District.",43,2500
19-0019,1/18/2019,61336080,black,male,1600 16TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,,LACK OF SERVICE,"According to the complainant, on 9-10-18 at 4:42 pm, they did not receive proper service from an officer assigned to the 16th District.",38,1600
19-0106,3/15/2019,51117250,white,female,3900 39TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-12-19 at 8:40 AM, they were improperly ticketed and treated unprofessionally by an officer assigned to the 39th District.",26,3900
16-0632,12/19/2016,,,,,PHYSICAL ABUSE,Sustained Finding,Not Applicable,female,white,VERBAL ABUSE,"According to the complainant, on 11-29-16 at 5:00pm, they were treated unprofessionally by officers assigned to the 25th District.",63,2500
18-0124,3/21/2018,64526407,black,female,4921 RADIO ROOM 1,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,,,VERBAL ABUSE,"According to the complainant, on 3-17-18 at 7:52pm, they were treated unprofessionally by a 911 operator assigned to the Radio Room.",,1400
19-0111,3/19/2019,97703401,white,male,3500 35TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-17-19 at 7:45 PM, they were improperly stopped and physically abused by officers assigned to the 35th District.",30,3500
16-0628,12/19/2016,65283090,black,male,0600 06TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,male,asian,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-7-16 at 10:19pm, proper police procedures were not followed by officers assigned to the 6th District.",39,600
17-0291,6/13/2017,85010244,white,male,2200 22ND DISTRICT,LACK OF SERVICE,Sustained Finding,Training/Counseling,female,white,LACK OF SERVICE,"According to the complainant, on 3-16-17, they did not receive proper service from officers assigned to the 22nd District.",55,2200
18-0374,8/1/2018,93141328,black,male,4500 CENTER CITY DISTRIC,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,,,HARASSMENT,"According to the complainant, they were treated unprofessionally by an officer assigned to the Center City District.",,
18-0484,10/3/2018,61865655,white,male,2600 26TH DISTRICT,LACK OF SERVICE,Sustained Finding,Training/Counseling,female,black,LACK OF SERVICE,"According to the complainant, they did not receive proper service from officers assigned to the 26th District.",56,5200
16-0549,11/3/2016,30404588,white,male,1200 12TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 10-29-16 at 10:00am, they were physically abused by officers assigned to the 12th District.",43,1200
17-0066,2/17/2017,35455552,white,male,7402 STRIKE FORCE,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,CRIMINAL ALLEGATION,"According to the complainant, on 2-8-17 at 7:35pm, they are missing property after a search warrant was executed at their residence by officers assigned to the Narcotics Field Unit. This incident occurred in the confines of the 18th District.",52,1800
19-0448,9/11/2019,42538129,white,male,1700 17TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,black,VERBAL ABUSE,"According to the complainant, on 8-19-19 at 10:30 PM, they were verbally abused by an officer assigned to the 17th District.",47,1700
17-0547,10/30/2017,,,,,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,,CIVIL RIGHTS COMPLAINT,"According to the complainant, they have called 911 on numerous occasions and have not received proper police service from officers assigned to the 3rd District.",41,300
18-0336,7/16/2018,96027986,white,male,5300 HIGHWAY PATROL,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,male,black,HARASSMENT,"According to the complainant, on 6-26-18, they did not receive proper service and was verbally abused by officers assigned to Highway Patrol.",35,3900
15-0404,7/21/2015,51762010,black,male,1500 15TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,female,,PHYSICAL ABUSE,"According to the complainant, on 7-13-15 at 9:30pm, their juvenile family member was physically abused by unknown 15th District officers.",,1500
19-0267,6/5/2019,95545617,white,male,6200 CENTRAL DETECTIVES,DEPARTMENTAL VIOLATION,Sustained Finding,Pending,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-17-19 at 9:00 AM, they are missing property and were treated unprofessionally by a detective assigned to Central Detective Division.",34,2200
17-0136,3/28/2017,81197816,black,male,1900 19TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 3-20-17 at 8:00am, they were physically abused by an officer assigned to the 19th District.",58,1900
19-0508,10/4/2019,43852884,white,male,2600 26TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,male,black,PHYSICAL ABUSE,"According to the complainant, on 10-1-19 at 4:38 PM, they were improperly searched and physically abused by an officer assigned to the 6th District.",45,600
20-0013,1/13/2020,74887029,white,male,1900 19TH DISTRICT,LACK OF SERVICE,Sustained Finding,Pending,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-6-20 at 5:15 PM, they were improperly stopped by officers assigned to the 19th District.",30,1900
19-0151,4/12/2019,91870347,white,male,3900 39TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-28-19 at 2:45 PM, they were improperly searched by officers assigned to the 39th District.",69,11700
19-0003,1/7/2019,57290021,black,male,9807 SUMMER INITIATIVE,UNPROFESSIONAL CONDUCT,Sustained Finding,Pending,male,black,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-31-18 at 4:00 pm, they were threatened and treated unprofessionally by officers assigned to the 39th District.",31,3900
18-0188,4/19/2018,62697011,black,male,2500 25TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on8-7-18 at 2:49am, an officer assigned to the 25th District did not follow proper live stop procedures and they did not receive proper service from a sergeant assigned to the 25th District.",34,2500
16-0209,4/26/2016,97077009,white,male,1400 14TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 4-12-16 at 6:00pm, they were falsely arrested and physically abused by officers assigned to the 14th District.",56,1400
18-0606,12/20/2018,49777089,white,male,3500 35TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on Thursday, 12/6/18 at 11:00 AM they were unlawfully detained, and forced to walk home after their vehicle was towed by an officer assigned to the 35th District.",66,10500
16-0230,5/9/2016,26040613,latino,male,7403 NARC FIELD UNIT NOR,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-27-16 at 6:45am, their residence was improperly searched by officers assigned to the Narcotics Field Unit. This incident occurred in the confines of the 26th District.",67,2600
16-0223,5/5/2016,38840715,white,male,7401 NARC FIELD UNIT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-29-16 at 8:00am, several members assigned to the Narcotics Field Unit damaged their property and conducted themselves unprofessionally during the execution of a search warrant.",34,2200
16-0528,10/27/2016,86402246,white,male,5300 HIGHWAY PATROL,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 10-19-16 at 9:00pm, they did not receive proper service from officers assigned to Highway Patrol. This incident occurred in the confines of the 25th District.",55,2500
17-0373,7/20/2017,83925516,black,male,0600 06TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-12-17 at 11:19am, they were falsely detained by officers assigned to the 6th District.",59,900
19-0104,3/15/2019,47490388,white,male,1200 12TH DISTRICT,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-4-19 at 4:30 PM, they were subjected to an illegal search, treated unprofessionally and verbally abused by officers assigned to the 12th District.",58,1200
18-0094,3/8/2018,52344629,black,male,4500 CENTER CITY DISTRIC,VERBAL ABUSE,Sustained Finding,Pending,male,white,PHYSICAL ABUSE,"According to the complainant, on 3-1-18 at 8:35pm, they were physically abused by an officer assigned to the Center City District.",43,600
15-0594,10/8/2015,68399946,white,male,1800 18TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,female,black,PHYSICAL ABUSE,"According to the complainants, on 10-4-15 at 8:40pm, they were physically abused and harassed by officers assigned to the 18th District.",43,1800
17-0552,11/1/2017,88874341,white,male,3500 35TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,CRIMINAL ALLEGATION,"According to the complainant, on 10-29-17 at 2:00am, they were verbally and physically abused by officers assigned to the 35th District.",70,7000
20-0214,5/20/2020,66313402,white,male,7700 AIRPORT,INVESTIGATION ONGOING,Pending,Pending,female,,LACK OF SERVICE,"According to the complainant, on 2-12-20, they did not receive proper service from a detective assigned to the Airport District.",,7700
18-0597,12/12/2018,23740007,white,male,1500 15TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,black,VERBAL ABUSE,"According to the complainant, on 11-10-18 at 9:30am, they did not receive proper service from officers assigned to the 8th District.",52,800
18-0190,4/23/2018,40540162,white,male,4902 DETENTION ROOM,DEPARTMENTAL VIOLATION,Sustained Finding,Pending,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-16-18 at 4:27am, their property was not returned to them after being arrested by officers assigned to the 6th District.",135,4200
19-0235,5/20/2019,14908887,white,male,2500 25TH DISTRICT,CIVIL RIGHTS COMPLAINT,No Sustained Findings,Not Applicable,male,,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 5-10-19 at 6:50 PM, they were improperly stopped and racially profiled by an officer assigned to the 25th District.",32,2500
16-0290,6/15/2016,92961770,black,male,2200 22ND DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,white,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 5-15-16 at 4:00am, their vehicle was improperly searched and they did not receive proper service by an officer and sergeant assigned to the 22nd District.",33,2200
19-0159,4/15/2019,21630803,white,male,1400 14TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,asian,LACK OF SERVICE,"According to the complainant, on 4-10-19 at 2:50 PM, they did not receive proper service from officers assigned to the 14th District.",31,1400
18-0229,5/10/2018,12471124,white,male,1400 14TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 3-27-18 at 8:15pm, they were physically abused and their vehicle was illegally searched by officers assigned to 14th District.",29,1400
16-0683,12/31/2016,94422609,white,male,1500 15TH DISTRICT,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-10-16 at 12:02am, proper police procedures were not followed by an officer assigned to the 15th District.",42,1500
20-0021,1/17/2020,58245660,white,male,0100 01ST DISTRICT,INVESTIGATION ONGOING,Pending,Pending,female,white,HARASSMENT,"According to the complainant, on 8-3-19 at 7:17 PM, they did not receive proper service and have been harassed by an officer assigned to the 1st District.",52,100
19-0452,9/12/2019,78359567,black,female,2500 25TH DISTRICT,DOMESTIC,No Sustained Findings,Not Applicable,male,black,DOMESTIC,"According to the complainant, on 8-31-19, they were physically abused by an off-duty officer assigned to the 25th District who also abused their police authority while in the confines of the 35th District.",43,3500
16-0609,12/5/2016,19722959,black,male,3500 35TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-27-16 at 12:29am, they did not receive proper service from officers assigned to the 35th District.",38,3500
15-0790,12/31/2015,18313619,white,male,2600 26TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,black,LACK OF SERVICE,"According to the complainant, on 12-18-15 at 3:45pm, they did not receive proper service from a supervisor and officers assigned to the 9th District.",27,900
17-0277,6/6/2017,24906617,white,male,5601 TOW SQUAD,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,male,black,LACK OF SERVICE,"According to the complainant, on 5-30-17 at 10:55pm, they were treated unprofessionally by civilian 911 call takers assigned to the Radio Room.",28,1500
19-0377,8/8/2019,68495561,white,male,1900 19TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 7-15-19 at 9:35 PM, they were physically abused by unknown officers while in the confines of the 19th District.",48,1900
19-0163,4/16/2019,43030969,black,male,2200 22ND DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 04-12-19 at 4:40 PM, they were falsely detained and harassed by officers assigned to the 22nd District.",30,2200
19-0209,5/8/2019,34910013,white,male,0200 02ND DISTRICT,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, 5-5-19 at 11:57pm, their property was damaged and they were improperly stopped and searched by officers within the confines of the 14th District.",31,1400
16-0050,2/2/2016,16958352,white,female,3500 35TH DISTRICT,LACK OF SERVICE,No Sustained Findings,Not Applicable,male,black,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 8:20pm, they did not receive proper service from officers and a sergeant assigned to the 35th District.",30,3500
19-0560,10/30/2019,49777089,white,male,3500 35TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,white,PHYSICAL ABUSE,"According to the complainant, on 9-12-19 at 9:30 PM, officers improperly entered their property and physically abused them while in the confines of the 35th District.",43,3500
17-0379,7/24/2017,,,,,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,white,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 7-19-17 at 8:20pm, unidentified Philadelphia Police officers are misusing departmental computer systems. This incident occurred in the confines of the 2nd District.",37,
18-0384,8/8/2018,44857103,white,male,2400 24TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 7-4-18, they were physically abused by officers assigned to the 24th District.",21,2400
18-0400,8/15/2018,60879976,white,male,0900 09TH DISTRICT,CIVIL RIGHTS COMPLAINT,No Sustained Findings,Not Applicable,female,white,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 8-6-18 at 4:00pm, they were profiled by an officer assigned to the 9th District.",49,900
16-0168,4/4/2016,28370744,white,male,6702 SPECIAL VICTIMS UNIT,LACK OF SERVICE,No Sustained Findings,Not Applicable,female,black,LACK OF SERVICE,"According to the complainant, on 8-19-14, they did not receive proper service from an officer assigned to the 25th District, and other members assigned to the Special Victims Unit.",26,2500
15-0589,10/6/2015,54304315,white,male,1700 17TH DISTRICT,PHYSICAL ABUSE,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 9-30-15 at 9:40pm, they were verbally and physically abused by officers assigned to the 17th District.",25,1700
16-0308,6/28/2016,79604112,black,male,7402 NARCOTICS STRIKE FO,UNPROFESSIONAL CONDUCT,No Sustained Findings,Not Applicable,female,black,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 6-19-16 at 9:19pm, they were treated unprofessionally and verbally abused by an officer assigned to the 22nd District.",20,2200
19-0633,12/2/2019,79748308,white,male,3900 39TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Pending,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-25-19 at 8:00 PM, they were improperly stopped by an officer while in the confines of the 39th District.",52,3900
18-0073,2/22/2018,34346963,white,male,2500 25TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,female,black,CRIMINAL ALLEGATION,"According to the complainant, on 2-18-18 at 6:12pm, they are missing property after they were stopped by an officer assigned to the 25th District.",28,2500
17-0434,8/28/2017,36907464,white,male,5603 AUTOMOTIVE SERV UNT,HARASSMENT,No Sustained Findings,Not Applicable,female,white,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-13-17, they were harassed by an off duty sergeant assigned to Automotive Services. This incident occurred in the confines of the 7th District.",52,700
19-0069,2/20/2019,69586641,black,male,5200 TRAFFIC DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,white,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-17-19 at 9:00 am, they were improperly stopped, verbally abused, and ticketed by an officer assigned to the Traffic District.",72,900
16-0083,2/22/2016,85896531,latino,male,3500 35TH DISTRICT,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-11-16 at 11:30am, their residence was improperly entered by a sergeant and officers assigned to the 35th District.",39,3500
18-0039,2/2/2018,74851323,white,male,2400 24TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,male,black,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 1-22-18 at 8:00pm, they were improperly stopped and physically abused by officers assigned to the 12th District.",30,1200
17-0574,11/14/2017,77219735,white,male,4902 DETENTION ROOM,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,PHYSICAL ABUSE,"According to the complainant, on 11-7-17 at 3:24am, they were physically abused during their arrest processing by officers assigned to the Detention Unit.",,600
15-0534,9/11/2015,55926515,black,male,1400 14TH DISTRICT,CRIMINAL ALLEGATION,No Sustained Findings,Not Applicable,female,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, an officer assigned to the 14th District, is associating with known criminals.",44,
16-0562,11/7/2016,77468473,white,male,1900 19TH DISTRICT,VERBAL ABUSE,No Sustained Findings,Not Applicable,male,black,VERBAL ABUSE,"According to the complainant, on 11-2-16 at 3:30pm, they were threatened and verbally abused by an officer assigned to the 19th District.",55,1900
18-0268,6/22/2018,26539117,black,male,1800 18TH DISTRICT,DEPARTMENTAL VIOLATION,Sustained Finding,Training/Counseling,female,black,UNPROFESSIONAL CONDUCT,"According to the complainant, on 6-4-18, they did not receive proper service from officers assigned to the 18th District.",34,1800
17-0062,2/27/2017,67854234,white,male,1700 17TH DISTRICT,NO C.A.P. INVESTIGATION,Not Applicable,Not Applicable,male,black,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 2-5-17 at 2:00am, they were falsely arrested by officers assigned to the 17th District.",19,1700
15-0361,7/2/2015,,,,,VERBAL ABUSE,No Sustained Findings,Not Applicable,female,latino,PHYSICAL ABUSE,"According to the complainant, on 6-27-15 at 6:24pm, they were physically abused by an officer assigned to the 25th District..",23,2400
17-0622,12/18/2017,69105817,black,male,9807 SUMMER INITIATIVE,DEPARTMENTAL VIOLATION,No Sustained Findings,Not Applicable,male,black,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-13-17 at 5:35pm, proper police procedures were not followed by officers assigned to the 12th District.",29,1200
